epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
84,1829.04,1.16962,0.79606,1.09796,0.88212,0.9249,0.90785,0.51884,1.426,0.68774,1.19873,0.000118926,0.000118926,0.000118926
85,1849.63,1.15821,0.78023,1.09019,0.90053,0.92728,0.90902,0.51804,1.39866,0.67656,1.19302,0.000112323,0.000112323,0.000112323
86,1871.41,1.1566,0.76318,1.08647,0.89545,0.92762,0.91182,0.51661,1.42341,0.68361,1.20172,0.00010572,0.00010572,0.00010572
87,1892.01,1.1582,0.76856,1.08975,0.89247,0.92782,0.90984,0.5121,1.42674,0.68246,1.20064,9.91162e-05,9.91162e-05,9.91162e-05
88,1912.81,1.16141,0.77159,1.08875,0.88774,0.9244,0.90876,0.50377,1.45737,0.69212,1.21587,9.25129e-05,9.25129e-05,9.25129e-05
89,1934.17,1.1597,0.76565,1.0872,0.88976,0.92853,0.90982,0.50966,1.44451,0.68503,1.20827,8.59096e-05,8.59096e-05,8.59096e-05
90,1954.5,1.1492,0.75673,1.08603,0.88489,0.9248,0.90272,0.5056,1.45066,0.69295,1.20819,7.93063e-05,7.93063e-05,7.93063e-05
91,1976.97,1.14202,0.62715,1.11393,0.88303,0.9231,0.90674,0.50888,1.44494,0.69265,1.21267,7.2703e-05,7.2703e-05,7.2703e-05
92,1998.31,1.12679,0.61607,1.10872,0.88935,0.91954,0.90473,0.50647,1.44358,0.68496,1.21029,6.60997e-05,6.60997e-05,6.60997e-05
93,2017.86,1.12578,0.61587,1.10897,0.88225,0.92329,0.90551,0.50274,1.45443,0.68294,1.21147,5.94964e-05,5.94964e-05,5.94964e-05
94,2038.09,1.11418,0.60339,1.10592,0.8875,0.92568,0.90742,0.50463,1.46082,0.68225,1.21511,5.28931e-05,5.28931e-05,5.28931e-05
95,2057.56,1.10679,0.59996,1.09629,0.89179,0.92768,0.90993,0.50127,1.47656,0.67745,1.22898,4.62898e-05,4.62898e-05,4.62898e-05
96,2078.1,1.10606,0.59742,1.096,0.8935,0.92688,0.90838,0.50415,1.46021,0.67195,1.22417,3.96865e-05,3.96865e-05,3.96865e-05
97,2097.48,1.09941,0.59453,1.09586,0.88701,0.92325,0.90482,0.50282,1.47078,0.67738,1.22262,3.30832e-05,3.30832e-05,3.30832e-05
98,2118.8,1.10228,0.59034,1.09313,0.88755,0.92479,0.90569,0.50524,1.46376,0.67308,1.21998,2.64799e-05,2.64799e-05,2.64799e-05
99,2138.15,1.09292,0.58967,1.0902,0.89019,0.92521,0.90709,0.49584,1.48171,0.6735,1.23317,1.98766e-05,1.98766e-05,1.98766e-05
100,2158.92,1.09165,0.5872,1.08891,0.89031,0.92577,0.90684,0.50034,1.47579,0.67393,1.22782,1.32733e-05,1.32733e-05,1.32733e-05
